;num_envs;env_size;number_of_envs;f_star_size;f_star_density;max_density;disagreement_mean;disagreement_median;disagreement_std;disagreement_max;coherence_score;c_score_interpret;best_path_len;number_of_high_disagreement_states
0;2;20x10;1;161;0,805;0,5;0,0;0,0;0,0;0,0;0,0;MARGINAL;29;0
1;2;20x10;2;121;0,605;1,0;0,12012337990771899;1,6638001023470284e-20;0,19069631224319175;1,0282814622610186;0,0;MARGINAL;37;1
2;5;20x10;1;185;0,925;0,2;0,0;0,0;0,0;0,0;0,0;MARGINAL;29;0
3;5;20x10;2;169;0,845;0,4;0,03224205049803527;0,0;0,09144156356654266;0,7731397084806804;0,0;MARGINAL;29;2
4;5;20x10;3;153;0,765;0,6;0,05521544764853752;1,1129441393310986e-18;0,10374994947609861;0,6893077639797012;0,0;MARGINAL;29;7
5;5;20x10;4;137;0,685;0,8;0,1009681906460387;0,0816750000000097;0,13143344916304717;0,5825142068521427;-1,0;FREE INFERENCE FAILS;33;6
6;5;20x10;5;121;0,605;1,0;0,13776437643882125;0,10454400000000626;0,15604854535182366;0,8676239839611661;-1,0;FREE INFERENCE FAILS;37;3
7;10;20x10;1;193;0,965;0,1;0,0;0,0;0,0;0,0;0,0;MARGINAL;29;0
8;10;20x10;2;185;0,925;0,2;0,019068055162997644;0,0;0,11876577988700115;1,4724197396417196;0,0;MARGINAL;29;3
9;10;20x10;3;177;0,885;0,3;0,03707876697460304;0,0;0,09752334344047195;1,048097505870431;0,0;MARGINAL;29;4
10;10;20x10;4;169;0,845;0,4;0,04042375617135431;0,0;0,0988886857075305;0,810051900768174;0,0;MARGINAL;29;5
11;10;20x10;5;161;0,805;0,5;0,04611089084105858;0,0;0,11819930824793816;0,941968343150168;0,0;MARGINAL;29;3
12;10;20x10;6;153;0,765;0,6;0,058247953549237626;1,236104916053816e-15;0,1125598727885935;0,8261623065406959;0,0;MARGINAL;29;4
13;10;20x10;7;145;0,725;0,7;0,0775451008728849;0,053338775510207555;0,11607642739406303;0,7327397283922782;0,0;MARGINAL;29;7
14;10;20x10;8;137;0,685;0,8;0,09902247390685566;0,08167500000000648;0,12435444974604792;0,7858273250905196;-1,0;FREE INFERENCE FAILS;33;6
15;10;20x10;9;129;0,645;0,9;0,117068478269225;0,07528889232644317;0,1317777951898289;0,7069609987739564;-1,0;FREE INFERENCE FAILS;53;6
16;10;20x10;10;121;0,605;1,0;0,12663201811267516;0,0914760001350956;0,13496599893698832;0,6600133400655006;-1,0;FREE INFERENCE FAILS;37;4
17;20;20x10;1;197;0,985;0,05;0,0;0,0;0,0;0,0;0,0;MARGINAL;29;0
18;20;20x10;2;193;0,965;0,1;0,0009983584174653422;0,0;0,01383285677877726;0,1926720442083513;0,0;MARGINAL;29;1
19;20;20x10;3;189;0,945;0,15;0,003528178178092168;0,0;0,020305421949917926;0,18285284669048882;0,0;MARGINAL;29;6
20;20;20x10;4;185;0,925;0,2;0,0154315231653561;0,0;0,08443697596963277;0,9857454874228138;0,0;MARGINAL;29;4
21;20;20x10;5;181;0,905;0,25;0,030244389540927417;0,0;0,08096827679206438;0,7904363353471996;0,0;MARGINAL;29;4
22;20;20x10;6;177;0,885;0,3;0,03643801486151505;0,0;0,08045426190326334;0,6596752944307871;0,0;MARGINAL;29;5
23;20;20x10;7;173;0,865;0,35;0,036285930918483617;0,0;0,07715495589806924;0,5659868672705017;0,0;MARGINAL;29;5
24;20;20x10;8;169;0,845;0,4;0,0389570528941894;0,0;0,08121312616808915;0,4955494967167582;0,0;MARGINAL;29;5
25;20;20x10;9;165;0,825;0,45;0,038323828417481956;1,2490297665999353e-30;0,07655975978501924;0,4408014425101504;0,0;MARGINAL;29;5
26;20;20x10;10;161;0,805;0,5;0,04180625171205277;1,1364527415840202e-30;0,08972676944592199;0,6223033147637262;0,0;MARGINAL;29;6
27;20;20x10;11;157;0,785;0,55;0,052306649800560365;1,674097778879928e-18;0,1361391619848833;1,3585583857770251;0,0;MARGINAL;29;5
28;20;20x10;12;153;0,765;0,6;0,05798976266169464;1,3418392996202957e-15;0,13054702332036736;1,2601247892046;0,0;MARGINAL;29;5
29;20;20x10;13;149;0,745;0,65;0,07826848317747603;0,030930177514795244;0,18105513021549366;1,7411181020652988;0,0;MARGINAL;29;2
30;20;20x10;14;145;0,725;0,7;0,08580264732770843;0,053338775510207555;0,17756462479559;1,641182109401002;0,0;MARGINAL;29;2
31;20;20x10;15;141;0,705;0,75;0,1060641049467893;0,05033600000000383;0,32289290600772746;3,2670487612887142;-1,0;FREE INFERENCE FAILS;33;2
32;20;20x10;16;137;0,685;0,8;0,11745557271472919;0,08167500000000648;0,3125437628552951;3,1219364018820475;-1,0;FREE INFERENCE FAILS;33;2
33;20;20x10;17;133;0,665;0,85;0,12214441714404843;0,07837785467128705;0,30415052992964176;2,974570561641331;-1,0;FREE INFERENCE FAILS;55;2
34;20;20x10;18;129;0,645;0,9;0,13259511535762816;0,07528959508903924;0,29401578225548897;2,8093239261551446;-1,0;FREE INFERENCE FAILS;53;2
35;20;20x10;19;125;0,625;0,95;0,13586361136182282;0,07239954814163994;0,288106384689654;2,700492140299704;-1,0;FREE INFERENCE FAILS;37;2
36;20;20x10;20;121;0,605;1,0;0,14548887254383924;0,08195511879486922;0,2731126126977512;2,5965620147096824;-1,0;FREE INFERENCE FAILS;37;2
