;num_envs;eval_level;grid_size;N;eval_level;num_obstacles;m_train;m_test;epsilon_threshold;delta;train_failure_rate;test_failure_rate;bound_basic;bound_sqrt;d_fi_estimate
0;16;1;(20, 10);16;1;63;50;50;0,03;0,05;1,0;1,0;3,553376435493204;2,332924685699309;63,0
1;16;2;(20, 10);16;2;63;50;50;0,03;0,05;1,0;1,0;3,553376435493204;2,332924685699309;63,0
2;16;3;(20, 10);16;3;63;50;50;0,03;0,05;1,0;1,0;3,553376435493204;2,332924685699309;63,0
3;16;4;(20, 10);16;4;63;50;50;0,03;0,05;1,0;1,0;3,553376435493204;2,332924685699309;63,0
4;16;5;(20, 10);16;5;63;50;50;0,03;0,05;1,0;1,0;3,553376435493204;2,332924685699309;63,0
5;16;6;(20, 10);16;6;63;50;50;0,03;0,05;1,0;1,0;3,553376435493204;2,332924685699309;63,0
6;16;7;(20, 10);16;7;63;50;50;0,03;0,05;1,0;1,0;3,553376435493204;2,332924685699309;63,0
7;16;8;(20, 10);16;8;63;50;50;0,03;0,05;1,0;1,0;3,553376435493204;2,332924685699309;63,0
8;16;9;(20, 10);16;9;63;50;50;0,03;0,05;1,0;1,0;3,553376435493204;2,332924685699309;63,0
9;16;10;(20, 10);16;10;63;50;50;0,03;0,05;1,0;1,0;3,553376435493204;2,332924685699309;63,0
10;16;11;(20, 10);16;11;63;50;50;0,03;0,05;1,0;1,0;3,553376435493204;2,332924685699309;63,0
11;16;12;(20, 10);16;12;63;50;50;0,03;0,05;1,0;1,0;3,553376435493204;2,332924685699309;63,0
12;16;13;(20, 10);16;13;63;50;50;0,03;0,05;1,0;1,0;3,553376435493204;2,332924685699309;63,0
13;16;14;(20, 10);16;14;63;50;50;0,03;0,05;1,0;1,0;3,553376435493204;2,332924685699309;63,0
14;16;15;(20, 10);16;15;63;50;50;0,03;0,05;1,0;1,0;3,553376435493204;2,332924685699309;63,0
