episode,t,obs,act,rew
0,0,"(0, 19)",0,-0.17
0,1,"(0, 18)",0,-0.17
0,2,"(0, 17)",0,-0.17
0,3,"(0, 16)",1,-0.17
0,4,"(1, 16)",0,-0.17
0,5,"(1, 15)",1,-0.17
0,6,"(2, 15)",0,-0.17
0,7,"(2, 14)",1,-16.67
0,8,"(2, 14)",0,-0.17
0,9,"(2, 13)",1,-0.17
0,10,"(3, 13)",0,-0.17
0,11,"(3, 12)",1,-0.17
0,12,"(4, 12)",1,-0.17
0,13,"(5, 12)",0,-0.17
0,14,"(5, 11)",0,-0.17
0,15,"(5, 10)",0,-0.17
0,16,"(5, 9)",1,-16.67
0,17,"(5, 9)",0,-0.17
0,18,"(5, 8)",0,-0.17
0,19,"(5, 7)",1,-0.17
0,20,"(6, 7)",0,-0.17
0,21,"(6, 6)",0,-0.17
0,22,"(6, 5)",1,-0.17
0,23,"(7, 5)",1,-0.17
0,24,"(8, 5)",1,-0.17
0,25,"(9, 5)",1,-0.17
0,26,"(10, 5)",1,-0.17
0,27,"(11, 5)",1,-0.17
0,28,"(12, 5)",1,-0.17
0,29,"(13, 5)",1,-0.17
0,30,"(14, 5)",1,-0.17
0,31,"(15, 5)",1,-0.17
0,32,"(16, 5)",1,-0.17
0,33,"(17, 5)",1,-0.17
0,34,"(18, 5)",1,-0.17
0,35,"(19, 5)",1,-0.17
0,36,"(20, 5)",1,-0.17
0,37,"(21, 5)",0,-0.17
0,38,"(21, 4)",1,-0.17
0,39,"(22, 4)",1,-0.17
0,40,"(23, 4)",1,-0.17
0,41,"(24, 4)",1,-0.17
0,42,"(25, 4)",1,-0.17
0,43,"(26, 4)",1,-0.17
0,44,"(27, 4)",0,-0.17
0,45,"(27, 3)",1,-0.17
0,46,"(28, 3)",1,-0.17
0,47,"(29, 3)",1,-0.17
0,48,"(30, 3)",1,-0.17
0,49,"(31, 3)",1,-0.17
0,50,"(32, 3)",1,-0.17
0,51,"(33, 3)",0,-0.17
0,52,"(33, 2)",1,-0.17
0,53,"(34, 2)",1,-0.17
0,54,"(35, 2)",2,-0.17
0,55,"(35, 3)",1,-0.17
0,56,"(36, 3)",1,-0.17
0,57,"(37, 3)",1,-0.17
0,58,"(38, 3)",1,-0.17
0,59,"(39, 3)",0,-0.17
0,60,"(39, 2)",0,-0.17
0,61,"(39, 1)",0,16.67
1,0,"(0, 19)",0,-0.17
1,1,"(0, 18)",1,-0.17
1,2,"(1, 18)",0,-0.17
1,3,"(1, 17)",0,-0.17
1,4,"(1, 16)",0,-0.17
1,5,"(1, 15)",0,-0.17
1,6,"(1, 14)",0,-0.17
1,7,"(1, 13)",1,-0.17
1,8,"(2, 13)",1,-0.17
1,9,"(3, 13)",1,-0.17
1,10,"(4, 13)",1,-0.17
1,11,"(5, 13)",0,-0.17
1,12,"(5, 12)",0,-0.17
1,13,"(5, 11)",0,-0.17
1,14,"(5, 10)",0,-0.17
1,15,"(5, 9)",1,-16.67
1,16,"(5, 9)",0,-0.17
1,17,"(5, 8)",0,-0.17
1,18,"(5, 7)",1,-0.17
1,19,"(6, 7)",0,-0.17
1,20,"(6, 6)",1,-0.17
1,21,"(7, 6)",0,-0.17
1,22,"(7, 5)",1,-0.17
1,23,"(8, 5)",1,-0.17
1,24,"(9, 5)",1,-0.17
1,25,"(10, 5)",1,-0.17
1,26,"(11, 5)",1,-0.17
1,27,"(12, 5)",1,-0.17
1,28,"(13, 5)",1,-0.17
1,29,"(14, 5)",1,-0.17
1,30,"(15, 5)",1,-0.17
1,31,"(16, 5)",1,-0.17
1,32,"(17, 5)",1,-0.17
1,33,"(18, 5)",1,-0.17
