episode,t,obs,act,rew
0,0,"(0, 9)",0,-0.33
0,1,"(0, 8)",1,-0.33
0,2,"(1, 8)",0,-0.33
0,3,"(1, 7)",1,-0.33
0,4,"(2, 7)",1,-0.33
0,5,"(3, 7)",1,-33.33
0,6,"(3, 7)",0,-0.33
0,7,"(3, 6)",0,-0.33
0,8,"(3, 5)",1,-33.33
0,9,"(3, 5)",3,-0.33
0,10,"(2, 5)",3,-0.33
0,11,"(1, 5)",0,-0.33
0,12,"(1, 4)",0,-0.33
0,13,"(1, 3)",1,-0.33
0,14,"(2, 3)",1,-0.33
0,15,"(3, 3)",0,-0.33
0,16,"(3, 2)",1,-33.33
0,17,"(3, 2)",2,-0.33
0,18,"(3, 3)",3,-0.33
0,19,"(2, 3)",3,-0.33
0,20,"(1, 3)",2,-0.33
0,21,"(1, 4)",2,-0.33
0,22,"(1, 5)",1,-0.33
0,23,"(2, 5)",1,-0.33
0,24,"(3, 5)",2,-0.33
0,25,"(3, 6)",2,-0.33
0,26,"(3, 7)",2,-33.33
0,27,"(3, 7)",3,-0.33
0,28,"(2, 7)",3,-0.33
0,29,"(1, 7)",2,-0.33
0,30,"(1, 8)",2,-0.33
0,31,"(1, 9)",1,-0.33
0,32,"(2, 9)",1,-0.33
0,33,"(3, 9)",1,-0.33
0,34,"(4, 9)",1,-0.33
0,35,"(5, 9)",0,-0.33
0,36,"(5, 8)",0,-0.33
0,37,"(5, 7)",1,-0.33
0,38,"(6, 7)",1,-0.33
0,39,"(7, 7)",2,-0.33
0,40,"(7, 8)",2,-0.33
0,41,"(7, 9)",1,-0.33
0,42,"(8, 9)",1,-0.33
0,43,"(9, 9)",1,-0.33
0,44,"(10, 9)",1,-0.33
0,45,"(11, 9)",1,-0.33
0,46,"(12, 9)",1,-0.33
0,47,"(13, 9)",0,-0.33
0,48,"(13, 8)",0,-0.33
0,49,"(13, 7)",0,-0.33
0,50,"(13, 6)",1,-33.33
0,51,"(13, 6)",0,-0.33
0,52,"(13, 5)",1,-0.33
0,53,"(14, 5)",1,-0.33
0,54,"(15, 5)",0,-0.33
0,55,"(15, 4)",0,-0.33
0,56,"(15, 3)",0,-0.33
0,57,"(15, 2)",0,-0.33
0,58,"(15, 1)",1,-0.33
0,59,"(16, 1)",1,-0.33
0,60,"(17, 1)",2,-0.33
0,61,"(17, 2)",2,-0.33
0,62,"(17, 3)",1,-0.33
0,63,"(18, 3)",1,-0.33
0,64,"(19, 3)",0,-0.33
0,65,"(19, 2)",0,-0.33
0,66,"(19, 1)",0,33.33
1,0,"(0, 9)",0,-0.33
1,1,"(0, 8)",0,-0.33
1,2,"(0, 7)",1,-0.33
1,3,"(1, 7)",0,-33.33
1,4,"(1, 7)",2,-0.33
1,5,"(1, 8)",2,-0.33
1,6,"(1, 9)",1,-0.33
1,7,"(2, 9)",1,-0.33
1,8,"(3, 9)",1,-0.33
1,9,"(4, 9)",1,-0.33
