episode,t,obs,act,rew
0,0,"(0, 19)",0,-0.17
0,1,"(0, 18)",1,-0.17
0,2,"(1, 18)",0,-0.17
0,3,"(1, 17)",1,-0.17
0,4,"(2, 17)",0,-0.17
0,5,"(2, 16)",1,-0.17
0,6,"(3, 16)",0,-0.17
0,7,"(3, 15)",1,-0.17
0,8,"(4, 15)",0,-0.17
0,9,"(4, 14)",1,-0.17
0,10,"(5, 14)",0,-0.17
0,11,"(5, 13)",0,-0.17
0,12,"(5, 12)",0,-0.17
0,13,"(5, 11)",0,-0.17
0,14,"(5, 10)",1,-0.17
0,15,"(6, 10)",0,-0.17
0,16,"(6, 9)",1,-0.17
0,17,"(7, 9)",0,-0.17
0,18,"(7, 8)",1,-0.17
0,19,"(8, 8)",1,-0.17
0,20,"(9, 8)",0,-0.17
0,21,"(9, 7)",1,-0.17
0,22,"(10, 7)",0,-0.17
0,23,"(10, 6)",0,-0.17
0,24,"(10, 5)",0,-0.17
0,25,"(10, 4)",0,-0.17
0,26,"(10, 3)",0,-0.17
0,27,"(10, 2)",1,-0.17
0,28,"(11, 2)",1,-0.17
0,29,"(12, 2)",0,-0.17
0,30,"(12, 1)",0,-0.17
0,31,"(12, 0)",1,-0.17
0,32,"(13, 0)",1,-0.17
0,33,"(14, 0)",1,-0.17
0,34,"(15, 0)",1,-0.17
0,35,"(16, 0)",1,-0.17
0,36,"(17, 0)",1,-0.17
0,37,"(18, 0)",1,-0.17
0,38,"(19, 0)",1,-0.17
0,39,"(20, 0)",1,-0.17
0,40,"(21, 0)",1,-0.17
0,41,"(22, 0)",1,-0.17
0,42,"(23, 0)",1,-0.17
0,43,"(24, 0)",1,-0.17
0,44,"(25, 0)",1,-0.17
0,45,"(26, 0)",1,-0.17
0,46,"(27, 0)",1,-0.17
0,47,"(28, 0)",1,-0.17
0,48,"(29, 0)",1,-0.17
0,49,"(30, 0)",1,-0.17
0,50,"(31, 0)",1,-0.17
0,51,"(32, 0)",1,-0.17
0,52,"(33, 0)",1,-0.17
0,53,"(34, 0)",1,-0.17
0,54,"(35, 0)",1,-0.17
0,55,"(36, 0)",1,-0.17
0,56,"(37, 0)",1,-0.17
0,57,"(38, 0)",1,16.67
1,0,"(0, 19)",1,-0.17
1,1,"(1, 19)",0,-0.17
1,2,"(1, 18)",1,-0.17
1,3,"(2, 18)",1,-0.17
1,4,"(3, 18)",0,-0.17
1,5,"(3, 17)",0,-0.17
1,6,"(3, 16)",1,-0.17
1,7,"(4, 16)",1,-0.17
1,8,"(5, 16)",1,-0.17
1,9,"(6, 16)",1,-0.17
1,10,"(7, 16)",0,-0.17
1,11,"(7, 15)",1,-0.17
1,12,"(8, 15)",1,-0.17
1,13,"(9, 15)",0,-0.17
1,14,"(9, 14)",1,-0.17
1,15,"(10, 14)",0,-0.17
1,16,"(10, 13)",1,-0.17
1,17,"(11, 13)",1,-0.17
1,18,"(12, 13)",0,-0.17
1,19,"(12, 12)",0,-0.17
1,20,"(12, 11)",1,-0.17
1,21,"(13, 11)",1,-0.17
1,22,"(14, 11)",1,-0.17
1,23,"(15, 11)",0,-0.17
1,24,"(15, 10)",0,-0.17
1,25,"(15, 9)",0,-0.17
1,26,"(15, 8)",1,-0.17
1,27,"(16, 8)",1,-0.17
1,28,"(17, 8)",1,-0.17
1,29,"(18, 8)",0,-0.17
1,30,"(18, 7)",1,-0.17
1,31,"(19, 7)",1,-0.17
1,32,"(20, 7)",0,-0.17
1,33,"(20, 6)",1,-0.17
1,34,"(21, 6)",1,-0.17
1,35,"(22, 6)",0,-0.17
1,36,"(22, 5)",0,-0.17
1,37,"(22, 4)",0,-0.17
1,38,"(22, 3)",0,-0.17
1,39,"(22, 2)",0,-0.17
1,40,"(22, 1)",0,-0.17
1,41,"(22, 0)",1,-0.17
1,42,"(23, 0)",1,-0.17
1,43,"(24, 0)",1,-0.17
1,44,"(25, 0)",1,-0.17
1,45,"(26, 0)",1,-0.17
1,46,"(27, 0)",1,-0.17
1,47,"(28, 0)",1,-0.17
1,48,"(29, 0)",1,-0.17
1,49,"(30, 0)",1,-0.17
1,50,"(31, 0)",1,-0.17
1,51,"(32, 0)",1,-0.17
1,52,"(33, 0)",1,-0.17
1,53,"(34, 0)",1,-0.17
1,54,"(35, 0)",1,-0.17
1,55,"(36, 0)",1,-0.17
1,56,"(37, 0)",1,-0.17
1,57,"(38, 0)",1,16.67
2,0,"(0, 19)",1,-0.17
2,1,"(1, 19)",0,-0.17
2,2,"(1, 18)",0,-0.17
2,3,"(1, 17)",0,-0.17
2,4,"(1, 16)",1,-0.17
2,5,"(2, 16)",0,-0.17
2,6,"(2, 15)",1,-0.17
2,7,"(3, 15)",1,-0.17
