episode,t,obs,act,rew
0,0,"(0, 19)",1,-0.17
0,1,"(1, 19)",0,-0.17
0,2,"(1, 18)",0,-0.17
0,3,"(1, 17)",0,-0.17
0,4,"(1, 16)",0,-0.17
0,5,"(1, 15)",1,-0.17
0,6,"(2, 15)",1,-0.17
0,7,"(3, 15)",2,-0.17
0,8,"(3, 16)",2,-0.17
0,9,"(3, 17)",1,-0.17
0,10,"(4, 17)",1,-0.17
0,11,"(5, 17)",2,-0.17
0,12,"(5, 18)",2,-0.17
0,13,"(5, 19)",1,-0.17
0,14,"(6, 19)",1,-0.17
0,15,"(7, 19)",1,-0.17
0,16,"(8, 19)",1,-0.17
0,17,"(9, 19)",1,-0.17
0,18,"(10, 19)",1,-0.17
0,19,"(11, 19)",1,-0.17
0,20,"(12, 19)",1,-0.17
0,21,"(13, 19)",1,-0.17
0,22,"(14, 19)",1,-0.17
0,23,"(15, 19)",0,-0.17
0,24,"(15, 18)",0,-0.17
0,25,"(15, 17)",3,-0.17
0,26,"(14, 17)",3,-0.17
0,27,"(13, 17)",0,-0.17
0,28,"(13, 16)",0,-0.17
0,29,"(13, 15)",0,-0.17
0,30,"(13, 14)",0,-0.17
0,31,"(13, 13)",3,-0.17
0,32,"(12, 13)",3,-0.17
0,33,"(11, 13)",0,-0.17
0,34,"(11, 12)",0,-0.17
0,35,"(11, 11)",1,-0.17
0,36,"(12, 11)",1,-0.17
0,37,"(13, 11)",1,-0.17
0,38,"(14, 11)",1,-0.17
0,39,"(15, 11)",0,-0.17
0,40,"(15, 10)",0,-0.17
0,41,"(15, 9)",0,-0.17
0,42,"(15, 8)",0,-0.17
0,43,"(15, 7)",0,-0.17
0,44,"(15, 6)",0,-0.17
0,45,"(15, 5)",0,-0.17
0,46,"(15, 4)",0,-0.17
0,47,"(15, 3)",0,-0.17
0,48,"(15, 2)",0,-0.17
0,49,"(15, 1)",1,-0.17
0,50,"(16, 1)",1,-0.17
0,51,"(17, 1)",1,-0.17
0,52,"(18, 1)",1,-0.17
0,53,"(19, 1)",2,-0.17
0,54,"(19, 2)",2,-0.17
0,55,"(19, 3)",2,-0.17
0,56,"(19, 4)",2,-0.17
0,57,"(19, 5)",3,-0.17
0,58,"(18, 5)",3,-0.17
0,59,"(17, 5)",2,-0.17
0,60,"(17, 6)",2,-0.17
0,61,"(17, 7)",2,-0.17
0,62,"(17, 8)",2,-0.17
0,63,"(17, 9)",2,-0.17
0,64,"(17, 10)",2,-0.17
0,65,"(17, 11)",2,-0.17
0,66,"(17, 12)",2,-0.17
0,67,"(17, 13)",2,-0.17
0,68,"(17, 14)",2,-0.17
0,69,"(17, 15)",2,-0.17
0,70,"(17, 16)",2,-0.17
0,71,"(17, 17)",2,-0.17
0,72,"(17, 18)",2,-0.17
0,73,"(17, 19)",1,-0.17
0,74,"(18, 19)",1,-0.17
0,75,"(19, 19)",0,-0.17
0,76,"(19, 18)",0,-0.17
0,77,"(19, 17)",1,-0.17
0,78,"(20, 17)",1,-0.17
0,79,"(21, 17)",2,-0.17
0,80,"(21, 18)",2,-0.17
0,81,"(21, 19)",1,-0.17
0,82,"(22, 19)",1,-0.17
0,83,"(23, 19)",1,-0.17
0,84,"(24, 19)",1,-0.17
0,85,"(25, 19)",1,-0.17
0,86,"(26, 19)",1,-0.17
0,87,"(27, 19)",1,-0.17
0,88,"(28, 19)",1,-0.17
0,89,"(29, 19)",1,-0.17
0,90,"(30, 19)",1,-0.17
0,91,"(31, 19)",0,-0.17
0,92,"(31, 18)",0,-0.17
0,93,"(31, 17)",3,-0.17
0,94,"(30, 17)",3,-0.17
0,95,"(29, 17)",3,-0.17
0,96,"(28, 17)",3,-0.17
0,97,"(27, 17)",0,-0.17
0,98,"(27, 16)",0,-0.17
0,99,"(27, 15)",0,-0.17
0,100,"(27, 14)",0,-0.17
0,101,"(27, 13)",0,-0.17
0,102,"(27, 12)",0,-0.17
0,103,"(27, 11)",1,-0.17
0,104,"(28, 11)",1,-0.17
0,105,"(29, 11)",2,-0.17
0,106,"(29, 12)",2,-0.17
0,107,"(29, 13)",2,-0.17
0,108,"(29, 14)",2,-0.17
0,109,"(29, 15)",1,-0.17
0,110,"(30, 15)",1,-0.17
0,111,"(31, 15)",1,-0.17
0,112,"(32, 15)",1,-0.17
0,113,"(33, 15)",0,-0.17
0,114,"(33, 14)",0,-0.17
0,115,"(33, 13)",3,-0.17
0,116,"(32, 13)",3,-0.17
0,117,"(31, 13)",0,-0.17
0,118,"(31, 12)",0,-0.17
0,119,"(31, 11)",0,-0.17
0,120,"(31, 10)",0,-0.17
0,121,"(31, 9)",1,-0.17
0,122,"(32, 9)",1,-0.17
0,123,"(33, 9)",0,-0.17
0,124,"(33, 8)",0,-0.17
0,125,"(33, 7)",0,-0.17
0,126,"(33, 6)",0,-0.17
0,127,"(33, 5)",0,-0.17
0,128,"(33, 4)",0,-0.17
0,129,"(33, 3)",3,-0.17
0,130,"(32, 3)",3,-0.17
0,131,"(31, 3)",0,-0.17
0,132,"(31, 2)",0,-0.17
0,133,"(31, 1)",1,-0.17
0,134,"(32, 1)",1,-0.17
0,135,"(33, 1)",1,-0.17
0,136,"(34, 1)",1,-0.17
0,137,"(35, 1)",2,-0.17
0,138,"(35, 2)",2,-0.17
0,139,"(35, 3)",1,-0.17
0,140,"(36, 3)",1,-0.17
0,141,"(37, 3)",2,-0.17
0,142,"(37, 4)",2,-0.17
0,143,"(37, 5)",3,-0.17
0,144,"(36, 5)",3,-0.17
0,145,"(35, 5)",2,-0.17
0,146,"(35, 6)",2,-0.17
0,147,"(35, 7)",1,-0.17
0,148,"(36, 7)",1,-0.17
0,149,"(37, 7)",1,-0.17
0,150,"(38, 7)",1,-0.17
0,151,"(39, 7)",0,-0.17
0,152,"(39, 6)",0,-0.17
0,153,"(39, 5)",0,-0.17
0,154,"(39, 4)",0,-0.17
0,155,"(39, 3)",0,-0.17
0,156,"(39, 2)",0,-0.17
0,157,"(39, 1)",0,16.67
1,0,"(0, 19)",1,-0.17
1,1,"(1, 19)",0,-0.17
1,2,"(1, 18)",0,-0.17
1,3,"(1, 17)",0,-0.17
1,4,"(1, 16)",0,-0.17
1,5,"(1, 15)",1,-0.17
1,6,"(2, 15)",1,-0.17
1,7,"(3, 15)",2,-0.17
1,8,"(3, 16)",2,-0.17
1,9,"(3, 17)",1,-0.17
1,10,"(4, 17)",1,-0.17
1,11,"(5, 17)",2,-0.17
1,12,"(5, 18)",2,-0.17
1,13,"(5, 19)",1,-0.17
1,14,"(6, 19)",1,-0.17
1,15,"(7, 19)",1,-0.17
1,16,"(8, 19)",1,-0.17
1,17,"(9, 19)",1,-0.17
1,18,"(10, 19)",1,-0.17
1,19,"(11, 19)",1,-0.17
1,20,"(12, 19)",1,-0.17
1,21,"(13, 19)",1,-0.17
1,22,"(14, 19)",1,-0.17
1,23,"(15, 19)",0,-0.17
1,24,"(15, 18)",0,-0.17
1,25,"(15, 17)",3,-0.17
1,26,"(14, 17)",3,-0.17
1,27,"(13, 17)",0,-0.17
1,28,"(13, 16)",0,-0.17
1,29,"(13, 15)",0,-0.17
1,30,"(13, 14)",0,-0.17
1,31,"(13, 13)",3,-0.17
1,32,"(12, 13)",3,-0.17
1,33,"(11, 13)",0,-0.17
1,34,"(11, 12)",0,-0.17
1,35,"(11, 11)",1,-0.17
1,36,"(12, 11)",1,-0.17
1,37,"(13, 11)",1,-0.17
1,38,"(14, 11)",1,-0.17
1,39,"(15, 11)",0,-0.17
1,40,"(15, 10)",0,-0.17
1,41,"(15, 9)",0,-0.17
1,42,"(15, 8)",0,-0.17
1,43,"(15, 7)",0,-0.17
1,44,"(15, 6)",0,-0.17
1,45,"(15, 5)",0,-0.17
1,46,"(15, 4)",0,-0.17
1,47,"(15, 3)",0,-0.17
1,48,"(15, 2)",0,-0.17
1,49,"(15, 1)",1,-0.17
1,50,"(16, 1)",1,-0.17
1,51,"(17, 1)",1,-0.17
1,52,"(18, 1)",1,-0.17
1,53,"(19, 1)",2,-0.17
1,54,"(19, 2)",2,-0.17
1,55,"(19, 3)",2,-0.17
1,56,"(19, 4)",2,-0.17
1,57,"(19, 5)",3,-0.17
1,58,"(18, 5)",3,-0.17
1,59,"(17, 5)",2,-0.17
1,60,"(17, 6)",2,-0.17
1,61,"(17, 7)",2,-0.17
1,62,"(17, 8)",2,-0.17
1,63,"(17, 9)",2,-0.17
1,64,"(17, 10)",2,-0.17
1,65,"(17, 11)",2,-0.17
1,66,"(17, 12)",2,-0.17
1,67,"(17, 13)",2,-0.17
1,68,"(17, 14)",2,-0.17
1,69,"(17, 15)",2,-0.17
1,70,"(17, 16)",2,-0.17
1,71,"(17, 17)",2,-0.17
1,72,"(17, 18)",2,-0.17
1,73,"(17, 19)",1,-0.17
1,74,"(18, 19)",1,-0.17
1,75,"(19, 19)",0,-0.17
1,76,"(19, 18)",0,-0.17
1,77,"(19, 17)",1,-0.17
1,78,"(20, 17)",1,-0.17
1,79,"(21, 17)",2,-0.17
1,80,"(21, 18)",2,-0.17
1,81,"(21, 19)",1,-0.17
1,82,"(22, 19)",1,-0.17
1,83,"(23, 19)",1,-0.17
1,84,"(24, 19)",1,-0.17
1,85,"(25, 19)",1,-0.17
1,86,"(26, 19)",1,-0.17
1,87,"(27, 19)",1,-0.17
1,88,"(28, 19)",1,-0.17
1,89,"(29, 19)",1,-0.17
1,90,"(30, 19)",1,-0.17
1,91,"(31, 19)",0,-0.17
1,92,"(31, 18)",0,-0.17
1,93,"(31, 17)",3,-0.17
1,94,"(30, 17)",3,-0.17
1,95,"(29, 17)",3,-0.17
1,96,"(28, 17)",3,-0.17
1,97,"(27, 17)",0,-0.17
1,98,"(27, 16)",0,-0.17
1,99,"(27, 15)",0,-0.17
1,100,"(27, 14)",0,-0.17
1,101,"(27, 13)",0,-0.17
1,102,"(27, 12)",0,-0.17
1,103,"(27, 11)",1,-0.17
1,104,"(28, 11)",1,-0.17
1,105,"(29, 11)",2,-0.17
1,106,"(29, 12)",2,-0.17
1,107,"(29, 13)",2,-0.17
1,108,"(29, 14)",2,-0.17
1,109,"(29, 15)",1,-0.17
1,110,"(30, 15)",1,-0.17
1,111,"(31, 15)",1,-0.17
1,112,"(32, 15)",1,-0.17
1,113,"(33, 15)",0,-0.17
1,114,"(33, 14)",0,-0.17
1,115,"(33, 13)",3,-0.17
1,116,"(32, 13)",3,-0.17
1,117,"(31, 13)",0,-0.17
1,118,"(31, 12)",0,-0.17
1,119,"(31, 11)",0,-0.17
1,120,"(31, 10)",0,-0.17
1,121,"(31, 9)",1,-0.17
1,122,"(32, 9)",1,-0.17
1,123,"(33, 9)",0,-0.17
1,124,"(33, 8)",0,-0.17
1,125,"(33, 7)",0,-0.17
1,126,"(33, 6)",0,-0.17
1,127,"(33, 5)",0,-0.17
1,128,"(33, 4)",0,-0.17
1,129,"(33, 3)",3,-0.17
1,130,"(32, 3)",3,-0.17
1,131,"(31, 3)",0,-0.17
1,132,"(31, 2)",0,-0.17
1,133,"(31, 1)",1,-0.17
1,134,"(32, 1)",1,-0.17
1,135,"(33, 1)",1,-0.17
1,136,"(34, 1)",1,-0.17
1,137,"(35, 1)",2,-0.17
1,138,"(35, 2)",2,-0.17
1,139,"(35, 3)",1,-0.17
1,140,"(36, 3)",1,-0.17
1,141,"(37, 3)",2,-0.17
1,142,"(37, 4)",2,-0.17
1,143,"(37, 5)",3,-0.17
1,144,"(36, 5)",3,-0.17
1,145,"(35, 5)",2,-0.17
1,146,"(35, 6)",2,-0.17
1,147,"(35, 7)",1,-0.17
1,148,"(36, 7)",1,-0.17
1,149,"(37, 7)",1,-0.17
1,150,"(38, 7)",1,-0.17
1,151,"(39, 7)",0,-0.17
1,152,"(39, 6)",0,-0.17
1,153,"(39, 5)",0,-0.17
1,154,"(39, 4)",0,-0.17
1,155,"(39, 3)",0,-0.17
1,156,"(39, 2)",0,-0.17
1,157,"(39, 1)",0,16.67
2,0,"(0, 19)",0,-0.17
2,1,"(0, 18)",0,-0.17
2,2,"(0, 17)",1,-0.17
2,3,"(1, 17)",0,-0.17
2,4,"(1, 16)",0,-0.17
2,5,"(1, 15)",1,-0.17
2,6,"(2, 15)",1,-0.17
2,7,"(3, 15)",2,-0.17
2,8,"(3, 16)",2,-0.17
2,9,"(3, 17)",1,-0.17
2,10,"(4, 17)",1,-0.17
2,11,"(5, 17)",2,-0.17
2,12,"(5, 18)",2,-0.17
2,13,"(5, 19)",1,-0.17
2,14,"(6, 19)",1,-0.17
2,15,"(7, 19)",1,-0.17
2,16,"(8, 19)",1,-0.17
2,17,"(9, 19)",1,-0.17
2,18,"(10, 19)",1,-0.17
2,19,"(11, 19)",1,-0.17
2,20,"(12, 19)",1,-0.17
2,21,"(13, 19)",1,-0.17
2,22,"(14, 19)",1,-0.17
2,23,"(15, 19)",0,-0.17
2,24,"(15, 18)",0,-0.17
2,25,"(15, 17)",3,-0.17
2,26,"(14, 17)",3,-0.17
2,27,"(13, 17)",0,-0.17
2,28,"(13, 16)",0,-0.17
2,29,"(13, 15)",0,-0.17
2,30,"(13, 14)",0,-0.17
2,31,"(13, 13)",3,-0.17
2,32,"(12, 13)",3,-0.17
2,33,"(11, 13)",0,-0.17
2,34,"(11, 12)",0,-0.17
2,35,"(11, 11)",1,-0.17
2,36,"(12, 11)",1,-0.17
2,37,"(13, 11)",1,-0.17
2,38,"(14, 11)",1,-0.17
2,39,"(15, 11)",0,-0.17
2,40,"(15, 10)",0,-0.17
2,41,"(15, 9)",0,-0.17
2,42,"(15, 8)",0,-0.17
2,43,"(15, 7)",0,-0.17
2,44,"(15, 6)",0,-0.17
2,45,"(15, 5)",0,-0.17
2,46,"(15, 4)",0,-0.17
2,47,"(15, 3)",0,-0.17
2,48,"(15, 2)",0,-0.17
2,49,"(15, 1)",1,-0.17
2,50,"(16, 1)",1,-0.17
2,51,"(17, 1)",1,-0.17
2,52,"(18, 1)",1,-0.17
2,53,"(19, 1)",2,-0.17
2,54,"(19, 2)",2,-0.17
2,55,"(19, 3)",2,-0.17
2,56,"(19, 4)",2,-0.17
2,57,"(19, 5)",3,-0.17
2,58,"(18, 5)",3,-0.17
2,59,"(17, 5)",2,-0.17
2,60,"(17, 6)",2,-0.17
2,61,"(17, 7)",2,-0.17
2,62,"(17, 8)",2,-0.17
2,63,"(17, 9)",2,-0.17
2,64,"(17, 10)",2,-0.17
2,65,"(17, 11)",2,-0.17
2,66,"(17, 12)",2,-0.17
2,67,"(17, 13)",2,-0.17
2,68,"(17, 14)",2,-0.17
2,69,"(17, 15)",2,-0.17
2,70,"(17, 16)",2,-0.17
2,71,"(17, 17)",2,-0.17
2,72,"(17, 18)",2,-0.17
2,73,"(17, 19)",1,-0.17
2,74,"(18, 19)",1,-0.17
2,75,"(19, 19)",0,-0.17
2,76,"(19, 18)",0,-0.17
